ids,c.gen
JN017931.1,#A52A2A
JN017930.1,#A52A2A
JN017929.1,#A52A2A
JN017927.1,#A52A2A
GQ267495.1,#A52A2A
JN225883.1,#347235
GQ267493.1,#A52A2A
JN225884.1,#347235
GQ267499.1,#A52A2A
JN225890.1,#347235
JN225892.1,#347235
JN225891.1,#347235
AY737758.1,#347235
DQ315447.1,#347235
DQ315442.1,#A52A2A
EF634072.1,#347235
EF634073.1,#347235
EF634071.1,#347235
EF634070.1,#347235
EF634069.1,#347235
JN225885.1,#347235
JN225887.1,#347235
JN225886.1,#347235
JN225889.1,#347235
JN225888.1,#347235
JN017920.1,#A52A2A
JN225922.1,#347235
JN225921.1,#347235
JN225896.1,#347235
JN225895.1,#347235
JN225894.1,#347235
JN225898.1,#347235
JN225897.1,#347235
JN225899.1,#347235
JN225900.1,#347235
JN225901.1,#347235
JN225902.1,#347235
JN225904.1,#347235
JN225903.1,#347235
JN225906.1,#347235
JN225905.1,#347235
JN225911.1,#347235
JN225910.1,#347235
JN225907.1,#347235
JN017916.1,#A52A2A
JN017914.1,#A52A2A
JN225909.1,#347235
JN225908.1,#347235
JN225913.1,#347235
JN225912.1,#347235
JN225915.1,#347235
JN225914.1,#347235
JN225916.1,#347235
JN225918.1,#347235
JN225920.1,#347235
JN225919.1,#347235
JN225917.1,#347235
JN225879.1,#347235
JN225930.1,#347235
EF634068.1,#347235
EF634067.1,#347235
JN225923.1,#347235
JN225925.1,#347235
JN225924.1,#347235
JN225926.1,#347235
JN225927.1,#347235
JN225929.1,#347235
JN225928.1,#347235
JN225893.1,#347235
JN225881.1,#347235
JN225932.1,#347235
JN225931.1,#347235
JN225933.1,#347235
JN225935.1,#347235
JN225934.1,#347235
JN225938.1,#347235
JN225937.1,#347235
JN225936.1,#347235
JN225882.1,#347235
JN225939.1,#347235
JN225941.1,#347235
JN225940.1,#347235
JN225942.1,#347235
JN225880.1,#347235
JN225943.1,#347235
JN225944.1,#347235
JN225945.1,#347235
JN225946.1,#347235
JN225947.1,#347235
JN225948.1,#347235
JN225949.1,#347235
JN225950.1,#347235
JN225951.1,#347235
JN225953.1,#347235
JN225952.1,#347235
JN017923.1,#A52A2A
EF634120.1,#347235
EF634121.1,#347235
EF634119.1,#347235
JN225954.1,#347235
JN225955.1,#347235
GQ267478.1,#A52A2A
EF634128.1,#347235
EF634130.1,#347235
EF634124.1,#347235
EF634127.1,#347235
EF634126.1,#347235
EF634125.1,#347235
EF634129.1,#347235
EF634123.1,#347235
EF634122.1,#347235
EF634149.1,#347235
EF634147.1,#347235
EF634148.1,#347235
EF634136.1,#347235
EF634146.1,#347235
EF634145.1,#347235
EF634144.1,#347235
EF634143.1,#347235
EF634142.1,#347235
EF634141.1,#347235
EF634140.1,#347235
EF634139.1,#347235
EF634138.1,#347235
EF634134.1,#347235
EF634133.1,#347235
EF634132.1,#347235
EF634131.1,#347235
EF634135.1,#347235
JN225959.1,#347235
JN225961.1,#347235
JN225960.1,#347235
JN017926.1,#A52A2A
JN017924.1,#A52A2A
JN017922.1,#A52A2A
GQ267496.1,#A52A2A
GQ267487.1,#A52A2A
GQ267481.1,#A52A2A
GQ267488.1,#A52A2A
GQ267484.1,#A52A2A
GQ267486.1,#A52A2A
GQ267483.1,#A52A2A
GQ267482.1,#A52A2A
GQ267485.1,#A52A2A
GQ267480.1,#A52A2A
GQ267479.1,#A52A2A
GQ267491.1,#A52A2A
EF634086.1,#347235
EF634081.1,#347235
EF634075.1,#347235
EF634087.1,#347235
EF634084.1,#347235
EF634080.1,#347235
EF634077.1,#347235
EF634085.1,#347235
EF634083.1,#347235
EF634082.1,#347235
EF634088.1,#347235
EF634079.1,#347235
EF634078.1,#347235
EF634076.1,#347235
EF634074.1,#347235
GQ267490.1,#A52A2A
GQ267489.1,#A52A2A
GQ267470.1,#A52A2A
GQ267498.1,#A52A2A
GQ267497.1,#A52A2A
JN017925.1,#A52A2A
JN225958.1,#347235
JN017928.1,#A52A2A
JN225956.1,#347235
JN225957.1,#347235
GQ267473.1,#A52A2A
GQ267476.1,#A52A2A
GQ267475.1,#A52A2A
EF634112.1,#347235
GQ267474.1,#A52A2A
EF634111.1,#347235
EF634110.1,#347235
GQ267469.1,#A52A2A
GQ267468.1,#A52A2A
EF634093.1,#347235
EF634092.1,#347235
EF634091.1,#347235
EF634090.1,#347235
EF634089.1,#347235
EF634096.1,#347235
EF634098.1,#347235
EF634100.1,#347235
EF634097.1,#347235
EF634109.1,#347235
EF634107.1,#347235
EF634104.1,#347235
EF634103.1,#347235
EF634106.1,#347235
EF634108.1,#347235
EF634105.1,#347235
GQ267472.1,#A52A2A
GQ267471.1,#A52A2A
GQ267492.1,#A52A2A
GQ267494.1,#A52A2A
GQ267477.1,#A52A2A
EF634118.1,#347235
EF634117.1,#347235
EF634115.1,#347235
EF634114.1,#347235
EF634113.1,#347235
