taxid,gen_shade,genus
155651,#E7298A,Pinus
155651,#E7298A,Pinus
61273,#E7298A,Pinus
61273,#E7298A,Pinus
1052667,#E7298A,Pinus
150797,#E7298A,Pinus
178871,#1B9E77,Kunzea
178870,#1B9E77,Kunzea
246627,#1B9E77,Kunzea
246627,#1B9E77,Kunzea
1073172,#7570B3,Nothofagus
228201,#7570B3,Nothofagus
228201,#7570B3,Nothofagus
228201,#7570B3,Nothofagus
191435,#E7298A,Pinus
191435,#E7298A,Pinus
191435,#E7298A,Pinus
213058,#E7298A,Pinus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228206,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
228205,#7570B3,Nothofagus
1073193,#7570B3,Nothofagus
1073192,#7570B3,Nothofagus
1073191,#7570B3,Nothofagus
1073173,#7570B3,Nothofagus
659602,#E7298A,Pinus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
526474,#7570B3,Nothofagus
56493,#E7298A,Pinus
56493,#E7298A,Pinus
85970,#E7298A,Pinus
659601,#E7298A,Pinus
418991,#E7298A,Pinus
87127,#E7298A,Pinus
418991,#E7298A,Pinus
418989,#E7298A,Pinus
87127,#E7298A,Pinus
57132,#E7298A,Pinus
659600,#E7298A,Pinus
145387,#E7298A,Pinus
224424,#E7298A,Pinus
224424,#E7298A,Pinus
82310,#E7298A,Pinus
1073195,#7570B3,Nothofagus
98776,#E7298A,Pinus
1073194,#7570B3,Nothofagus
1073190,#7570B3,Nothofagus
175245,#E7298A,Pinus
165587,#E7298A,Pinus
659599,#E7298A,Pinus
659598,#E7298A,Pinus
450312,#7570B3,Nothofagus
166043,#E7298A,Pinus
450312,#7570B3,Nothofagus
450312,#7570B3,Nothofagus
41956,#E7298A,Pinus
41956,#E7298A,Pinus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
228195,#7570B3,Nothofagus
659597,#E7298A,Pinus
659596,#E7298A,Pinus
659603,#E7298A,Pinus
175245,#E7298A,Pinus
47297,#E7298A,Pinus
427885,#7570B3,Nothofagus
427885,#7570B3,Nothofagus
427885,#7570B3,Nothofagus
427885,#7570B3,Nothofagus
427885,#7570B3,Nothofagus
175245,#E7298A,Pinus
1073161,#7570B3,Nothofagus
659604,#E7298A,Pinus
43439,#E7298A,Pinus
292464,#7570B3,Nothofagus
292464,#7570B3,Nothofagus
292464,#7570B3,Nothofagus
292464,#7570B3,Nothofagus
292464,#7570B3,Nothofagus
63576,#7570B3,Nothofagus
78927,#7570B3,Nothofagus
5547,#E7298A,Pinus
1073165,#7570B3,Nothofagus
1073164,#7570B3,Nothofagus
1073163,#7570B3,Nothofagus
1073179,#7570B3,Nothofagus
1073175,#7570B3,Nothofagus
1073177,#7570B3,Nothofagus
1073176,#7570B3,Nothofagus
1073174,#7570B3,Nothofagus
1073170,#7570B3,Nothofagus
120395,#E7298A,Pinus
209475,#7570B3,Nothofagus
209475,#7570B3,Nothofagus
1073178,#7570B3,Nothofagus
1073171,#7570B3,Nothofagus
1073119,#7570B3,Nothofagus
506795,#1B9E77,Kunzea
506808,#1B9E77,Kunzea
506793,#1B9E77,Kunzea
506801,#1B9E77,Kunzea
506810,#1B9E77,Kunzea
506799,#1B9E77,Kunzea
506811,#1B9E77,Kunzea
506797,#1B9E77,Kunzea
506798,#1B9E77,Kunzea
1073121,#7570B3,Nothofagus
1073120,#7570B3,Nothofagus
1073132,#7570B3,Nothofagus
1073131,#7570B3,Nothofagus
1073127,#7570B3,Nothofagus
1073130,#7570B3,Nothofagus
1073128,#7570B3,Nothofagus
1073129,#7570B3,Nothofagus
1073125,#7570B3,Nothofagus
1073126,#7570B3,Nothofagus
1073186,#7570B3,Nothofagus
1073185,#7570B3,Nothofagus
1073183,#7570B3,Nothofagus
326616,#7570B3,Nothofagus
1073187,#7570B3,Nothofagus
1073117,#7570B3,Nothofagus
1073118,#7570B3,Nothofagus
1073166,#7570B3,Nothofagus
1073167,#7570B3,Nothofagus
1073169,#7570B3,Nothofagus
1073124,#7570B3,Nothofagus
1073122,#7570B3,Nothofagus
1073123,#7570B3,Nothofagus
506853,#1B9E77,Kunzea
77044,#E7298A,Pinus
77044,#E7298A,Pinus
506861,#1B9E77,Kunzea
1073182,#7570B3,Nothofagus
114812,#7570B3,Nothofagus
1073188,#7570B3,Nothofagus
1073184,#7570B3,Nothofagus
506868,#1B9E77,Kunzea
506864,#1B9E77,Kunzea
1073189,#7570B3,Nothofagus
506871,#1B9E77,Kunzea
1073156,#7570B3,Nothofagus
1073155,#7570B3,Nothofagus
1073154,#7570B3,Nothofagus
1073153,#7570B3,Nothofagus
506840,#1B9E77,Kunzea
506839,#1B9E77,Kunzea
1073152,#7570B3,Nothofagus
506838,#1B9E77,Kunzea
1073150,#7570B3,Nothofagus
1073151,#7570B3,Nothofagus
506835,#1B9E77,Kunzea
506837,#1B9E77,Kunzea
506836,#1B9E77,Kunzea
1073162,#7570B3,Nothofagus
1073149,#7570B3,Nothofagus
1073148,#7570B3,Nothofagus
1073147,#7570B3,Nothofagus
419816,#D95F02,Leptospermum
1073134,#7570B3,Nothofagus
1073142,#7570B3,Nothofagus
1073141,#7570B3,Nothofagus
1073139,#7570B3,Nothofagus
1073136,#7570B3,Nothofagus
1073137,#7570B3,Nothofagus
1073180,#7570B3,Nothofagus
1073181,#7570B3,Nothofagus
1073070,#7570B3,Nothofagus
1073068,#7570B3,Nothofagus
1073069,#7570B3,Nothofagus
1073146,#7570B3,Nothofagus
1073135,#7570B3,Nothofagus
1073133,#7570B3,Nothofagus
1073145,#7570B3,Nothofagus
1073144,#7570B3,Nothofagus
1073143,#7570B3,Nothofagus
1073160,#7570B3,Nothofagus
293659,#1B9E77,Kunzea
293659,#1B9E77,Kunzea
1073159,#7570B3,Nothofagus
1073158,#7570B3,Nothofagus
1073157,#7570B3,Nothofagus
1073138,#7570B3,Nothofagus
1073140,#7570B3,Nothofagus
