ids,c.species
JN017931.1,#D95F02
JN017930.1,#D95F02
JN017929.1,#D95F02
JN017927.1,#D95F02
GQ267495.1,#D95F02
JN225883.1,#31A354
GQ267493.1,#D95F02
JN225884.1,#31A354
GQ267499.1,#D95F02
JN225890.1,#31A354
JN225892.1,#31A354
JN225891.1,#006D2C
AY737758.1,#EDF8E9
DQ315447.1,#006D2C
DQ315442.1,#D95F02
EF634072.1,#006D2C
EF634073.1,#006D2C
EF634071.1,#006D2C
EF634070.1,#006D2C
EF634069.1,#006D2C
JN225885.1,#74C476
JN225887.1,#31A354
JN225886.1,#31A354
JN225889.1,#006D2C
JN225888.1,#74C476
JN017920.1,#D95F02
JN225922.1,#006D2C
JN225921.1,#31A354
JN225896.1,#31A354
JN225895.1,#31A354
JN225894.1,#31A354
JN225898.1,#31A354
JN225897.1,#74C476
JN225899.1,#006D2C
JN225900.1,#74C476
JN225901.1,#74C476
JN225902.1,#74C476
JN225904.1,#006D2C
JN225903.1,#74C476
JN225906.1,#74C476
JN225905.1,#31A354
JN225911.1,#006D2C
JN225910.1,#31A354
JN225907.1,#31A354
JN017916.1,#D95F02
JN017914.1,#D95F02
JN225909.1,#74C476
JN225908.1,#74C476
JN225913.1,#006D2C
JN225912.1,#31A354
JN225915.1,#31A354
JN225914.1,#74C476
JN225916.1,#31A354
JN225918.1,#006D2C
JN225920.1,#BAE4B3
JN225919.1,#006D2C
JN225917.1,#74C476
JN225879.1,#74C476
JN225930.1,#006D2C
EF634068.1,#006D2C
EF634067.1,#006D2C
JN225923.1,#31A354
JN225925.1,#31A354
JN225924.1,#31A354
JN225926.1,#74C476
JN225927.1,#006D2C
JN225929.1,#006D2C
JN225928.1,#74C476
JN225893.1,#74C476
JN225881.1,#74C476
JN225932.1,#006D2C
JN225931.1,#74C476
JN225933.1,#31A354
JN225935.1,#31A354
JN225934.1,#74C476
JN225938.1,#31A354
JN225937.1,#006D2C
JN225936.1,#31A354
JN225882.1,#31A354
JN225939.1,#006D2C
JN225941.1,#31A354
JN225940.1,#006D2C
JN225942.1,#74C476
JN225880.1,#74C476
JN225943.1,#31A354
JN225944.1,#006D2C
JN225945.1,#31A354
JN225946.1,#006D2C
JN225947.1,#006D2C
JN225948.1,#006D2C
JN225949.1,#74C476
JN225950.1,#74C476
JN225951.1,#74C476
JN225953.1,#006D2C
JN225952.1,#006D2C
JN017923.1,#D95F02
EF634120.1,#006D2C
EF634121.1,#006D2C
EF634119.1,#006D2C
JN225954.1,#006D2C
JN225955.1,#74C476
GQ267478.1,#D95F02
EF634128.1,#006D2C
EF634130.1,#006D2C
EF634124.1,#006D2C
EF634127.1,#006D2C
EF634126.1,#006D2C
EF634125.1,#006D2C
EF634129.1,#006D2C
EF634123.1,#006D2C
EF634122.1,#006D2C
EF634149.1,#006D2C
EF634147.1,#006D2C
EF634148.1,#006D2C
EF634136.1,#006D2C
EF634146.1,#006D2C
EF634145.1,#006D2C
EF634144.1,#006D2C
EF634143.1,#006D2C
EF634142.1,#006D2C
EF634141.1,#006D2C
EF634140.1,#006D2C
EF634139.1,#006D2C
EF634138.1,#006D2C
EF634134.1,#006D2C
EF634133.1,#006D2C
EF634132.1,#006D2C
EF634131.1,#006D2C
EF634135.1,#006D2C
JN225959.1,#006D2C
JN225961.1,#006D2C
JN225960.1,#74C476
JN017926.1,#D95F02
JN017924.1,#D95F02
JN017922.1,#D95F02
GQ267496.1,#D95F02
GQ267487.1,#D95F02
GQ267481.1,#D95F02
GQ267488.1,#D95F02
GQ267484.1,#D95F02
GQ267486.1,#D95F02
GQ267483.1,#D95F02
GQ267482.1,#D95F02
GQ267485.1,#D95F02
GQ267480.1,#D95F02
GQ267479.1,#D95F02
GQ267491.1,#D95F02
EF634086.1,#006D2C
EF634081.1,#006D2C
EF634075.1,#006D2C
EF634087.1,#006D2C
EF634084.1,#006D2C
EF634080.1,#006D2C
EF634077.1,#006D2C
EF634085.1,#006D2C
EF634083.1,#006D2C
EF634082.1,#006D2C
EF634088.1,#006D2C
EF634079.1,#006D2C
EF634078.1,#006D2C
EF634076.1,#006D2C
EF634074.1,#006D2C
GQ267490.1,#D95F02
GQ267489.1,#D95F02
GQ267470.1,#D95F02
GQ267498.1,#D95F02
GQ267497.1,#D95F02
JN017925.1,#D95F02
JN225958.1,#74C476
JN017928.1,#D95F02
JN225956.1,#74C476
JN225957.1,#31A354
GQ267473.1,#D95F02
GQ267476.1,#D95F02
GQ267475.1,#D95F02
EF634112.1,#006D2C
GQ267474.1,#D95F02
EF634111.1,#006D2C
EF634110.1,#006D2C
GQ267469.1,#D95F02
GQ267468.1,#D95F02
EF634093.1,#006D2C
EF634092.1,#006D2C
EF634091.1,#006D2C
EF634090.1,#006D2C
EF634089.1,#006D2C
EF634096.1,#006D2C
EF634098.1,#006D2C
EF634100.1,#006D2C
EF634097.1,#006D2C
EF634109.1,#006D2C
EF634107.1,#006D2C
EF634104.1,#006D2C
EF634103.1,#006D2C
EF634106.1,#006D2C
EF634108.1,#006D2C
EF634105.1,#006D2C
GQ267472.1,#D95F02
GQ267471.1,#D95F02
GQ267492.1,#D95F02
GQ267494.1,#D95F02
GQ267477.1,#D95F02
EF634118.1,#006D2C
EF634117.1,#006D2C
EF634115.1,#006D2C
EF634114.1,#006D2C
EF634113.1,#006D2C
